id,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
544,99000000.0,Secondary, Ломоносовский проспект,1.0,Moscow,4.0,129.4,10.0,17.3,17.0,18,Designer
545,40500000.0,Secondary, Народное Ополчение,10.0,Moscow,4.0,106.1,60.7,15.2,48.0,58,Without renovation
546,79000000.0,Secondary, Ломоносовский проспект,17.0,Moscow,4.0,145.0,102.0,15.0,36.0,48,Designer
547,50000000.0,Secondary, Новослободская,6.0,Moscow,4.0,297.0,91.7,19.0,3.0,3,Without renovation
548,79000000.0,Secondary, Ломоносовский проспект,10.0,Moscow,4.0,145.8,102.0,15.0,36.0,47,European-style renovation
549,80000000.0,Secondary, Минская,19.0,Moscow,4.0,186.4,96.4,22.1,11.0,44,Without renovation
550,132000000.0,Secondary, Беговая,5.0,Moscow,4.0,133.5,49.5,17.7,10.0,21,European-style renovation
551,185000000.0,Secondary, Спортивная,10.0,Moscow,4.0,171.0,88.6,20.8,4.0,6,Without renovation
552,61000000.0,Secondary, Раменки,10.0,Moscow,4.0,134.5,70.1,17.8,15.0,52,Without renovation
553,149600000.0,Secondary, Смоленская,8.0,Moscow,4.0,174.0,90.1,21.0,12.0,13,Without renovation
554,43000000.0,Secondary, Народное Ополчение,9.0,Moscow,4.0,118.6,54.6,30.4,9.0,48,Without renovation
555,155000000.0,Secondary, Спортивная,10.0,Moscow,4.0,133.1,10.0,17.7,6.0,14,Without renovation
556,281600000.0,Secondary, Кропоткинская,3.0,Moscow,4.0,128.0,10.0,17.2,2.0,5,Without renovation
557,57990000.0,Secondary, Динамо,7.0,Moscow,4.0,95.6,50.5,14.5,18.0,19,Designer
